Frame	Tempo (s)	Emoção
1106	36.87	sad
1107	36.90	sad
1108	36.93	sad
1109	36.97	sad
1110	37.00	sad
1111	37.03	sad
1112	37.07	sad
1113	37.10	sad
1114	37.13	sad
1115	37.17	sad
1116	37.20	sad
1117	37.23	sad
1118	37.27	sad
1119	37.30	sad
1120	37.33	sad
1121	37.37	sad
1122	37.40	sad
1123	37.43	sad
1124	37.47	sad
1125	37.50	sad
1126	37.53	sad
1127	37.57	sad
1128	37.60	sad
1129	37.63	sad
1130	37.67	sad
1131	37.70	sad
1132	37.73	sad
1133	37.77	sad
1134	37.80	sad
1135	37.83	sad
1136	37.87	sad
1137	37.90	sad
1138	37.93	sad
1139	37.97	sad
1140	38.00	sad
1141	38.03	sad
1142	38.07	sad
1143	38.10	sad
1144	38.13	sad
1145	38.17	sad
1146	38.20	sad
1147	38.23	sad
1148	38.27	sad
1149	38.30	sad
1150	38.33	sad
1151	38.37	sad
1152	38.40	sad
1153	38.43	sad
1154	38.47	sad
1155	38.50	sad
1156	38.53	sad
1157	38.57	sad
1158	38.60	sad
1159	38.63	sad
1160	38.67	sad
1161	38.70	sad
1162	38.73	sad
1163	38.77	sad
1164	38.80	sad
1165	38.83	sad
1166	38.87	sad
1167	38.90	sad
1168	38.93	sad
1169	38.97	sad
1170	39.00	sad
1171	39.03	sad
1172	39.07	sad
1173	39.10	sad
1174	39.13	sad
1175	39.17	sad
1176	39.20	sad
1177	39.23	sad
1178	39.27	sad
1179	39.30	sad
1180	39.33	sad
1181	39.37	sad
1182	39.40	sad
1183	39.43	sad
1184	39.47	sad
1185	39.50	sad
1186	39.53	sad
1187	39.57	sad
1188	39.60	sad
1189	39.63	sad
1190	39.67	sad
1191	39.70	sad
1192	39.73	sad
1193	39.77	sad
1194	39.80	sad
1195	39.83	sad
1196	39.87	sad
1197	39.90	sad
1198	39.93	sad
1199	39.97	sad
1200	40.00	sad
1201	40.03	sad
1202	40.07	sad
1203	40.10	sad
1204	40.13	sad
1205	40.17	sad
1206	40.20	sad
1207	40.23	sad
1208	40.27	sad
1209	40.30	sad
1210	40.33	sad
1211	40.37	sad
1212	40.40	sad
1213	40.43	fear
1214	40.47	neutral
1215	40.50	neutral
